Название,Категория,Цена,Страна/Город,Ссылка,Фото
Книга Все детективные расследования Фу-Фу и Кис-Ки,"Б/у, игрушки и книги",12 р.,Гомель,https://www.kufar.by/item/145133949,https://yams.kufar.by/api/v1/kufar-ads/images/94/9406538658.jpg?rule=list_thumbs_2x
Нарядное платьице рост 80,"Б/у, одежда до 1 года, платья, юбки, для девочек, 74 - 80 (8-12 месяцев)",20 р.,"Могилевская, Бобруйск",https://www.kufar.by/item/153281666,https://yams.kufar.by/api/v1/kufar-ads/images/88/8877857351.jpg?rule=list_thumbs_2x
Смета на ремонт после залития / оценка ущерба,Строительные работы,100 р.,Витебск,https://www.kufar.by/item/141609568,https://yams.kufar.by/api/v1/kufar-ads/images/51/5164423128.jpg?rule=list_thumbs_2x
"Постельное белье Бязь 100% хлопок 1,5-спальный","Новое, текстиль и ковры",57 р.,"Гродненская, Лида",https://www.kufar.by/item/148573905,https://yams.kufar.by/api/v1/kufar-ads/images/41/4174467866.jpg?rule=list_thumbs_2x
Босоножки ,"Б/у, детская обувь, босоножки, сандалии, 25,26,27 р-р, для девочек",5 р.,"Могилевская, Бобруйск",https://www.kufar.by/item/153277326,https://yams.kufar.by/api/v1/kufar-ads/images/88/8807571430.jpg?rule=list_thumbs_2x
Кроссовки,"Б/у, женская обувь, кроссовки и кеды, 38, деми",75 р.,"Минск, Первомайский",https://www.kufar.by/item/152142383,https://yams.kufar.by/api/v1/kufar-ads/images/78/7881361823.jpg?rule=list_thumbs_2x
Услуги манипулятора (грузоперевозки),Перевозки пассажиров и грузов,Договорная,Брест,https://www.kufar.by/item/75169727,https://yams.kufar.by/api/v1/kufar-ads/images/50/5078085664.jpg?rule=list_thumbs_2x
Проводные наушники Apple,"Б/у, аксессуары для телефонов",20 р.,"Минск, Заводской",https://www.kufar.by/item/153281664,https://yams.kufar.by/api/v1/kufar-ads/images/88/8873401839.jpg?rule=list_thumbs_2x
Детские книги Часодеи и Хроника страны мечты,"Б/у, игрушки и книги",15 р.,Гомель,https://www.kufar.by/item/145134299,https://yams.kufar.by/api/v1/kufar-ads/images/94/9439781251.jpg?rule=list_thumbs_2x
Костюм мужской,"Б/у, мужская одежда, костюмы, 46 (S)",40 р.,"Минск, Советский",https://www.kufar.by/item/153281662,https://yams.kufar.by/api/v1/kufar-ads/images/88/8812442476.jpg?rule=list_thumbs_2x
Ингалятор,"Б/у, медицинские товары",60 р.,Витебск,https://www.kufar.by/item/153280849,https://yams.kufar.by/api/v1/kufar-ads/images/88/8816990792.jpg?rule=list_thumbs_2x
Индивидуальный пошив штор,"Новое, шторы, жалюзи, карнизы",Договорная,"Гродненская, Лида",https://www.kufar.by/item/150351049,https://yams.kufar.by/api/v1/kufar-ads/images/61/6175999030.jpg?rule=list_thumbs_2x
Кепка Burberry ,"Б/у, мужские аксессуары",Договорная,"Гродненская, Слоним",https://www.kufar.by/item/153281660,https://yams.kufar.by/api/v1/kufar-ads/images/88/8893712003.jpg?rule=list_thumbs_2x
Ящик складной 32 литра,"Новое, хозяйственные товары",15 р.,"Минск, Партизанский",https://www.kufar.by/item/153281659,https://yams.kufar.by/api/v1/kufar-ads/images/88/8809074806.jpg?rule=list_thumbs_2x
Костюм летний на мальчика 3-4 года,"Б/у, одежда для мальчиков, костюмы, пиджаки, 92 - 98 (3 года), 98 - 104 (4 года)",10 р.,"Минск, Октябрьский",https://www.kufar.by/item/153281657,https://yams.kufar.by/api/v1/kufar-ads/images/88/8879437042.jpg?rule=list_thumbs_2x
Собаки,"Домашние питомцы, собаки",Бесплатно,Гомель,https://www.kufar.by/item/153281655,https://yams.kufar.by/api/v1/kufar-ads/images/88/8844643629.jpg?rule=list_thumbs_2x
Одежда для мальчиков,"Б/у, одежда для мальчиков, рубашки, майки, футболки, 86 - 92 (2 года), 92 - 98 (3 года)",8 р.,"Гомельская, Рогачев",https://www.kufar.by/item/153281652,https://yams.kufar.by/api/v1/kufar-ads/images/88/8808970662.jpg?rule=list_thumbs_2x
Hyundai Lantra,"1993, 300 000 км, механика, 1.5 л, бензин, седан",1 200 р.400 $ *,Брест,https://auto.kufar.by/vi/153281653,https://yams.kufar.by/api/v1/kufar-ads/images/88/8815706002.jpg?rule=list_thumbs_2x
Комикс Догмен Герой без поводка,"Б/у, игрушки и книги",15 р.,Гомель,https://www.kufar.by/item/145134106,https://yams.kufar.by/api/v1/kufar-ads/images/94/9436592998.jpg?rule=list_thumbs_2x
